country,total_earnings,total_players,year,iso,code,pbicap,internet,desempleo,elect_acc,movil,poblacion,pea,net_mig,life_exp,CPI,gdp_gr,inflacion
United States,249063.4,96,2000-01-01,US,840,36329.9560727102,43.07916264,3.99,100.0,38.76720665,282162411.0,186952253.0,1479676.0,76.6365853658537,,2.92544098347776,2.26554767048013
"Korea, Republic of",206619.75,46,2000-01-01,KR,0,12257.0206622345,44.7,4.06,100.0,57.31396784,47008111.0,33787596.0,-72624.0,75.909756097561,,8.15268965958531,1.02176500548737
Sweden,91384.14,19,2000-01-01,SE,752,29624.9126748618,45.68765221,5.47,100.0,71.8325825,8872109.0,5705560.0,27734.0,79.6439024390244,,4.59825479417304,1.50577048243903
Canada,37427.49,16,2000-01-01,CA,124,24271.0020563821,51.3,6.83,100.0,28.44217078,30685730.0,20968129.0,201617.0,79.1668292682927,,4.16394850028571,4.37419903079417
United Kingdom,21252.7,7,2000-01-01,GB,826,28280.926786099,26.82175435,5.56,100.0,73.83511897,58892514.0,38411614.0,161157.0,77.7414634146342,,3.94666041513302,1.14388786538939
Russian Federation,15777.99,5,2000-01-01,RU,643,1771.59411621094,1.977230109,10.58,97.8066482543945,2.228887102,146596869.0,101636477.0,404928.0,65.4836585365854,,10.4637091559227,37.6979282123097
Germany,10731.33,21,2000-01-01,DE,276,23694.7604830673,30.2163466,7.92,100.0,59.10608068,82211508.0,55870870.0,60905.0,77.9268292682927,,2.77322125091402,-0.489389005327581
Norway,9280.86,2,2000-01-01,NO,578,38178.2368777076,52.0,3.46,100.0,71.78479169,4490967.0,2911610.0,9789.0,78.6341463414634,,2.65053090696199,15.3333099619942
Denmark,7930.39,9,2000-01-01,DK,208,30743.5476816354,39.17243086,4.48,100.0,62.98014008,5339616.0,3560844.0,12536.0,76.5926829268293,,3.40068454610739,3.01797428833477
Hong Kong,7692.0,3,2000-01-01,HK,0,25756.7728723704,27.82776068,4.92,100.0,80.92687851,6665000.0,4783754.0,60719.0,80.8731707317073,,6.71848397093488,-3.39423988048908
Netherlands,6087.63,2,2000-01-01,NL,528,26214.498549887,43.98435137,2.73,100.0,67.6451895,15925513.0,10800244.0,21650.0,77.9878048780488,,3.45353825605781,3.42036982108445
Australia,4556.8,5,2000-01-01,AU,036,21870.4159669594,46.75611561,6.29,100.0,45.02059448,19028802.0,12729175.0,109375.0,79.2341463414634,,2.73894429537623,2.55075058049891
Finland,2190.84,6,2000-01-01,FI,246,24345.9148217032,37.24846174,11.13,100.0,72.03389585,5176209.0,3464352.0,2428.0,77.4658536585366,,5.55399785284234,1.63783143233083
Venezuela,1000.0,1,2000-01-01,VE,862,4795.63474781717,3.359597465,13.99,98.9,22.29913391,24427729.0,14973186.0,-2004.0,72.478,,1.73114510029852,29.4528251104893
Hungary,876.33,2,2000-01-01,HU,348,4624.28165670295,6.999676351,6.56,100.0,30.15352299,10210971.0,6961575.0,15478.0,71.2463414634146,,4.75094782312509,9.58348091637275
France,701.05,5,2000-01-01,FR,250,22416.425417915,14.30792394,10.22,100.0,49.52209267,60921384.0,39677855.0,102857.0,79.0560975609756,,3.21238484755931,1.5532902530466
New Zealand,500.0,1,2000-01-01,NZ,554,13641.1027183822,47.37955654,6.13,100.0,39.99724014,3857700.0,2527570.0,-6080.0,78.6365853658537,,2.26868043761239,2.88358617019273
Croatia,438.17,1,2000-01-01,HR,191,4952.37775298931,6.644882544,16.06,100.0,22.71111332,4468302.0,3000132.0,-50791.0,72.8078048780488,,3.97689687073282,4.33923661627327
Singapore,400.0,1,2000-01-01,SG,702,23852.8389514753,36.0,3.7,100.0,67.77675756,4027887.0,3004812.0,39387.0,77.9512195121951,,7.16598820156491,3.86347751783269
South Africa,365.53,5,2000-01-01,ZA,710,3241.66139605189,5.348559732,20.069,72.3950271606445,17.81332668,46813266.0,28369978.0,-80388.0,58.47,,3.20151044858625,9.18219141567356
Spain,300.0,1,2000-01-01,ES,724,14749.6874248766,13.62496081,13.79,100.0,59.55835811,40567864.0,27827997.0,175213.0,78.9658536585366,,4.7764007853099,3.32975470875705
United States,196572.65,74,2001-01-01,US,840,37133.623113437,49.08083159,4.73,100.0,45.01340879,284968955.0,189269845.0,1335725.0,76.8365853658537,,-0.0399197287893003,2.25295235878073
"Korea, Republic of",176735.95,46,2001-01-01,KR,0,11561.2071745115,56.6,3.7,100.0,61.71406693,47370164.0,33985803.0,-26859.0,76.4121951219512,,4.05100640297607,3.47849914716076
Sweden,97170.85,33,2001-01-01,SE,752,27247.857734793,51.76566494,4.73,100.0,80.68116575,8895960.0,5740198.0,29249.0,79.7951219512195,,1.17750189231714,2.48352296605476
Germany,77070.45,44,2001-01-01,DE,276,23628.3272122367,31.65093942,7.77,100.0,68.85395013,82349925.0,55754780.0,48500.0,78.3292682926829,,1.5105582606794,1.30499491007868
Russian Federation,70230.48,34,2001-01-01,RU,643,2100.3525390625,2.944367787,8.98,97.8552093505859,5.314723089,145976482.0,102172930.0,287206.0,65.3834146341463,,5.54671833932643,16.4796193570037
Canada,56847.16,26,2001-01-01,CA,124,23822.0601178964,60.2,7.22,100.0,34.34855145,31020902.0,21262292.0,224357.0,79.3980487804878,,0.774366748175552,1.5736767667921
France,28175.56,35,2001-01-01,FR,250,22449.3396931175,26.32590355,8.61,100.0,62.69176131,61367388.0,39940381.0,122247.0,79.1585365853659,,1.24252728979701,2.00833418538838
Denmark,18099.14,12,2001-01-01,DK,208,30751.654348268,42.95752472,4.16,100.0,73.87336618,5358783.0,3567227.0,11934.0,76.7926829268293,,0.462534295314015,2.51841422592467
China,17000.0,5,2001-01-01,CN,156,1053.11231446589,2.639650215,3.8,96.9853134155273,11.37860424,1271850000.0,878790092.0,-485419.0,72.606,,7.55165482920275,2.04704946627774
Italy,16525.0,6,2001-01-01,IT,380,20500.9543995672,27.22211698,9.6,100.0,89.9131629,56974100.0,38273154.0,47084.0,80.1268292682927,,1.89412399481279,3.03359202588445
Norway,15882.21,8,2001-01-01,NO,578,38601.897639231,64.0,3.74,100.0,79.59651016,4513751.0,2932188.0,7888.0,78.7853658536585,,1.5519275837342,1.71264025643715
Finland,15110.55,20,2001-01-01,FI,246,24967.7925153182,43.10536335,10.29,100.0,80.48545471,5188008.0,3471758.0,6395.0,77.9658536585366,,2.37665487011792,3.30338088882533
United Kingdom,9913.59,11,2001-01-01,GB,826,27906.5695029641,33.48109487,4.7,100.0,78.32360974,59119673.0,38661576.0,186701.0,77.9926829268293,,2.18459671040603,1.50534861378814
Netherlands,9795.37,7,2001-01-01,NL,528,26896.5481111196,49.37306211,2.12,100.0,76.3376165,16046180.0,10869275.0,17665.0,78.190243902439,,1.55745812949353,4.18485489972578
Kazakhstan,7500.0,8,2001-01-01,KZ,398,1490.92675457119,1.006124211,10.43,99.65,3.808580234,14858335.0,9812620.0,-28743.0,65.76,,13.6931931455792,10.1564326382591
Australia,5985.3,4,2001-01-01,AU,036,19695.7297379144,52.68926643,6.75,100.0,57.83415055,19274701.0,12909312.0,113907.0,79.6341463414634,,0.723531156716689,4.63071823972064
Austria,5600.0,4,2001-01-01,AT,040,24558.7636778868,39.18545018,4.01,100.0,81.35950603,8042293.0,5448046.0,39173.0,78.5756097560976,,0.88025909788611,1.94710539424338
